,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE
0,247758.0,776.12,154.08,2.18,13.319999999999999,164.24,680.75,46.79,Oklahoma City,Oklahoma
1,259903.0,814.16,183.42,2.5,14.38,195.52,654.49,48.02,Lafayette,Louisiana
3,463245.0,1451.0,156.76,2.75,14.370000000000001,167.1,790.34,55.28,Denver,Colorado
4,987211.0,3093.0,180.74,3.42,16.45,192.66,824.87,54.97,Pasadena,California
5,343877.0,1077.0,162.63,2.85,14.899999999999999,173.36,631.23,43.29,Akron,Ohio
6,285928.0,895.69,161.29,2.68,14.329999999999998,171.93,759.5600000000001,49.46,Carbondale,Illinois
9,1146835.0,3593.0,182.92,3.51,18.87,194.98,901.42,62.84,San Francisco,California
10,859866.0,2694.0,162.13,2.73,16.14,172.82,724.3,50.44,Washington,DC
14,282805.0,885.91,177.55,2.53,12.139999999999999,189.26,695.78,49.0,Waco,Texas
16,320281.0,1003.0,130.77,2.8,14.309999999999999,139.4,695.78,49.26,Salt Lake City,Utah
18,321322.0,1007.0,199.68,2.76,14.510000000000002,212.86,662.74,50.9,Harrisburg,Pennsylvania
19,2140883.0,6706.0,181.74,3.16,21.68,193.73,1017.01,65.26,Stanford,California
23,337631.0,1058.0,190.63,2.54,16.14,203.2,914.1800000000001,59.65,Tacoma,Washington
24,370596.0,1161.0,141.84,2.95,14.68,151.2,827.11,58.21,Reno,Nevada
26,828384.0,2595.0,208.74,3.0,17.05,222.51,793.34,55.18,Collegeville,Pennsylvania
27,320281.0,1003.0,126.75,2.93,14.23,135.11,851.8900000000001,50.23,Spokane,Washington
30,717943.0,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts
31,326527.0,1023.0,171.18,2.82,13.319999999999999,182.47,707.02,50.03,Detroit,Michigan
33,376148.0,1178.0,151.23,2.96,15.260000000000002,161.21,770.83,51.52,Las Vegas,Nevada
35,299808.0,939.17,169.0,2.38,14.02,180.15,628.96,47.2,Birmingham,Alabama
36,343530.0,1076.0,179.56,3.4,15.79,191.41,884.9100000000001,49.77,Olympia,Washington
41,268231.0,840.25,144.19,2.68,16.71,153.7,875.1600000000001,52.91,St. Cloud,Minnesota
45,363656.0,1139.0,152.74,2.82,15.649999999999999,162.81,784.34,55.07,Minneapolis,Minnesota
47,308136.0,965.26,144.02,2.4,13.84,153.52,755.06,48.48,Omaha,Nebraska
49,788384.0,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,Los Angeles,California
50,475397.0,1489.0,181.74,2.76,18.83,193.73,875.1600000000001,63.1,West Haven,Connecticut
52,572175.0,1792.0,175.54,2.68,16.32,187.12,759.5600000000001,54.56,Oberlin,Ohio
53,316117.0,990.26,199.01,2.7,15.21,212.14,740.06,48.74,Gainesville,Florida
55,364003.0,1140.0,174.87,2.59,13.93,186.4,759.5600000000001,52.65,Dallas,Texas
58,316747.0,992.23,195.49,2.82,14.73,208.39,808.35,56.77,Brunswick,Maine
62,620783.0,1945.0,130.77,2.78,16.91,139.4,803.85,60.53,Portland,Oregon
64,580412.0,1818.0,168.83,2.59,13.53,179.97,737.05,47.82,East Lansing,Michigan
65,304319.0,953.3,159.11,2.63,14.100000000000001,169.61,661.24,53.37,Bloomington,Indiana
66,307789.0,964.17,178.22,2.4,12.97,189.98,809.8599999999999,52.09,Richmond,Virginia
69,889164.0,2785.0,149.72,3.2,17.13,159.6,778.3399999999999,56.15,Davis,California
70,374066.0,1172.0,129.1,2.49,14.94,137.61,773.8299999999999,51.88,Bozeman,Montana
71,309524.0,969.6,154.58,2.53,14.74,164.78,655.24,50.34,Jacksonville,Florida
74,391407.0,1226.0,161.12,2.39,14.29,171.75,733.29,48.23,Tempe,Arizona
76,1109025.0,3474.0,201.36,2.99,16.27,214.64,901.42,66.24,Cambridge,Massachusetts
77,262332.0,821.77,147.04,2.31,12.139999999999999,156.74,681.51,48.74,San Antonio,Texas
78,354160.0,1109.0,179.9,2.54,14.2,191.77,703.28,49.36,West Lafayette,Indiana
80,327915.0,1027.0,168.67,2.74,13.61,179.79,732.55,57.54,Fort Worth,Texas
83,258515.0,809.81,173.53,2.34,14.99,184.98,640.23,52.09,Auburn,Alabama
85,319587.0,1001.0,180.74,2.57,14.709999999999999,192.66,742.3,53.48,Kansas City,Missouri
86,281764.0,882.64,149.55,2.66,13.68,159.42,682.26,48.95,Grand Rapids,Michigan
89,435485.0,1364.0,134.8,3.15,15.46,143.69,866.9,58.88,Bellingham,Washington
90,299114.0,936.99,129.94,2.59,13.54,138.51,750.56,49.1,Longview,Texas
92,252269.0,790.25,192.31,2.62,15.34,204.99,766.3199999999999,49.98,St. Louis,Missouri
93,426463.0,1336.0,173.03,2.67,16.34,184.44,790.34,52.96,Williamstown,Massachusetts
95,325833.0,1021.0,179.73,2.49,14.370000000000001,191.59,851.1299999999999,48.74,Milwaukee,Wisconsin
97,327568.0,1026.0,143.01,2.64,15.43,152.45,806.8499999999999,52.5,Atlanta,Georgia
99,302584.0,947.86,137.65,2.42,14.2,146.73,852.64,54.25,Baton Rouge,Louisiana
100,363656.0,1139.0,185.43,2.54,12.74,197.66,684.51,48.64,Houston,Texas
101,509743.0,1597.0,199.68,2.92,16.43,212.86,784.34,55.18,Burlington,Vermont
102,309524.0,969.6,175.2,2.45,13.01,186.76,740.8,52.45,Lexington,Virginia
106,467409.0,1464.0,181.74,2.76,18.83,193.73,875.1600000000001,63.1,New Haven,Connecticut
109,67630.0,211.86,149.72,2.4,13.629999999999999,159.6,755.8199999999999,48.18,Notre Dame,Indiana
112,788384.0,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,Long Beach,California
113,251228.0,786.99,152.57,2.56,14.68,162.64,893.16,53.63,Mankato,Minnesota
115,353246.0,1107.0,147.04,2.44,12.88,156.74,746.0600000000001,51.88,Austin,Texas
117,229714.0,719.59,197.34,2.3,12.950000000000001,210.35,833.88,51.93,Blacksburg,Virginia
118,199501.0,624.95,157.1,2.57,16.2,167.46,935.2,48.9,Ypsilanti,Michigan
120,305013.0,955.47,143.68,2.81,13.14,153.16,776.0699999999999,48.07,Boise,Idaho
122,252963.0,792.42,154.41,2.27,15.350000000000001,164.6,638.72,45.76,Cleveland,Tennessee
125,448032.0,1403.0,201.36,2.99,16.27,214.64,901.42,66.24,Lowell,Massachusetts
126,433403.0,1358.0,195.49,2.82,14.73,208.39,808.35,56.77,Portland,Maine
131,860907.0,2697.0,210.75,2.91,17.72,224.65,871.39,55.07,San Jose,California
134,544805.0,1707.0,156.76,2.75,14.370000000000001,167.1,790.34,55.28,Golden,Colorado
137,316117.0,990.26,150.73,2.62,14.23,160.67,613.21,53.37,Nashville,Tennessee
141,306401.0,959.82,175.54,2.68,16.32,187.12,759.5600000000001,54.56,Cleveland,Ohio
142,274824.0,860.9,161.62,2.85,14.16,172.29,830.8800000000001,52.4,Eau Claire,Wisconsin
144,537002.0,1682.0,130.27,2.53,14.510000000000002,138.87,691.26,50.13,Granville,Ohio
151,282423.0,884.71,178.22,2.4,12.97,189.98,809.8599999999999,52.09,Ashland,Virginia
153,210282.0,658.72,145.03,2.61,11.83,154.59,680.01,43.9,Kalamazoo,Michigan
154,305360.0,956.56,165.98,2.7,13.56,176.93,736.3,55.02,Peoria,Illinois
155,417441.0,1308.0,213.6,2.56,14.620000000000001,227.69,886.4100000000001,61.97,Fitchburg,Massachusetts
156,165415.0,518.17,150.73,2.62,14.23,160.67,613.21,53.37,Tusculum,Tennessee
157,266496.0,834.82,130.27,2.53,14.510000000000002,138.87,691.26,50.13,Columbus,Ohio
158,271354.0,850.03,183.92,2.57,15.379999999999999,196.06,676.25,61.04,Tuscaloosa,Alabama
160,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Philadelphia,Pennsylvania
161,348388.0,1091.0,121.72,2.66,14.68,129.75,832.38,51.37,Orem,Utah
162,249146.0,780.47,150.06,2.19,12.63,159.95,655.99,44.01,Knoxville,Tennessee
163,266496.0,834.82,190.29,2.52,13.37,202.85,708.52,48.43,Champaign,Illinois
165,284193.0,890.25,183.25,2.47,16.04,195.34,740.06,49.72,Laramie,Wyoming
168,228326.0,715.25,173.03,2.33,13.37,184.44,636.47,44.62,Memphis,Tennessee
169,341022.0,1068.0,140.67,2.91,14.94,149.95,815.11,49.46,Dekalb,Illinois
172,426457.0,1336.0,213.6,2.56,14.620000000000001,227.69,886.4100000000001,61.97,Worcester,Massachusetts
173,498986.0,1563.0,165.31,2.93,15.469999999999999,176.22,728.05,52.19,Miami,Florida
177,1046899.0,3279.0,316.71,3.52,23.770000000000003,337.6,869.8900000000001,66.55,Honolulu,Hawaii
180,261985.0,820.69,147.37,2.72,13.8,157.09,640.97,47.51,Cedar City,Utah
181,345219.0,1081.0,168.67,2.74,13.61,179.79,732.55,57.54,Arlington,Texas
184,308483.0,966.34,186.44,2.45,14.99,198.74,662.0,48.69,Orlando,Florida
185,348388.0,1091.0,121.72,2.66,14.68,129.75,832.38,51.37,Provo,Utah
187,978750.0,3066.0,208.74,3.0,17.05,222.51,793.34,55.18,Swarthmore,Pennsylvania
188,320975.0,1005.0,149.55,2.47,13.400000000000002,159.42,740.06,52.6,Lexington,Kentucky
192,539932.0,1691.0,151.23,3.3,15.889999999999999,161.21,760.32,59.09,Chicago,Illinois
193,528481.0,1656.0,166.15,2.82,15.049999999999999,177.11,725.8,52.86,Fort Lauderdale,Florida
199,225203.0,705.46,197.84,2.57,13.89,210.89,684.51,53.22,Tulsa,Oklahoma
200,243247.0,761.99,166.65,2.27,14.45,177.65,740.8,48.54,Springfield,Missouri
203,351858.0,1102.0,144.69,2.74,14.29,154.24,676.25,50.23,New Orleans,Louisiana
204,510784.0,1600.0,173.7,2.93,18.439999999999998,185.15,1079.31,63.21,Anchorage,Alaska
205,283499.0,888.08,162.97,2.47,14.370000000000001,173.72,752.81,49.77,Columbia,Missouri
207,317505.0,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Pittsburgh,Pennsylvania
208,1356983.0,4251.0,236.57,2.89,15.52,252.17,1014.76,66.81,Wellesley,Massachusetts
210,263026.0,823.95,158.61,2.22,13.7,169.07,663.5,50.49,Fayetteville,Arkansas
213,820543.0,2570.0,180.74,3.42,16.45,192.66,824.87,54.97,Claremont,California
215,266843.0,835.9,194.99,2.77,14.68,207.85,737.8,49.93,Tampa,Florida
216,277600.0,869.6,151.23,2.52,15.07,161.21,759.5600000000001,52.14,Tucson,Arizona
217,509743.0,1597.0,179.56,2.69,15.739999999999998,191.41,687.52,54.4,Baltimore,Maryland
220,331038.0,1037.0,133.63,2.79,13.319999999999999,142.44,748.31,46.22,Ames,Iowa
223,294256.0,921.78,149.39,2.39,13.84,159.24,710.03,48.79,Manhattan,Kansas
226,817185.0,2560.0,192.64,3.36,16.57,205.35,806.8499999999999,52.55,San Diego,California
229,281070.0,880.47,172.86,2.62,13.37,184.26,780.5799999999999,47.56,Green Bay,Wisconsin
231,407378.0,1276.0,157.1,2.57,16.2,167.46,935.2,48.9,Ann Arbor,Michigan
237,341101.0,1069.0,123.57,2.54,14.25,131.72,766.3199999999999,48.54,Colorado Springs,Colorado
238,546401.0,1712.0,162.63,2.85,14.899999999999999,173.36,631.23,43.29,Kent,Ohio
240,854777.0,2678.0,151.23,3.3,15.889999999999999,161.21,760.32,59.09,Evanston,Illinois
241,379618.0,1189.0,176.38,2.8,15.11,188.01,918.68,54.61,Madison,Wisconsin
245,258168.0,808.73,183.92,2.49,14.100000000000001,196.06,725.05,55.12,Huntsville,Alabama
247,673874.0,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Seattle,Washington
248,1128030.0,3534.0,190.46,3.4,18.42,203.03,923.9300000000001,62.69,Berkeley,California
249,271701.0,851.12,155.25,2.66,15.280000000000001,165.49,726.55,45.04,El Paso,Texas
250,399656.0,1252.0,175.04,2.26,12.99,186.58,668.0,48.9,Clinton,Mississippi
253,257821.0,807.64,146.03,2.26,13.299999999999999,155.67,613.21,45.91,Jonesboro,Arkansas
255,376495.0,1179.0,159.11,2.24,15.52,169.61,829.37,59.86,Charlottesville,Virginia
260,315423.0,988.08,144.36,2.43,16.13,153.88,739.3,51.06,Tallahassee,Florida
263,616230.0,1930.0,161.62,2.94,14.77,172.29,852.64,60.58,Middletown,Connecticut
264,336194.0,1053.0,126.75,2.93,14.23,135.11,851.8900000000001,50.23,Cheney,Washington
265,244957.0,767.34,208.74,3.0,17.05,222.51,793.34,55.18,Chester,Pennsylvania
268,286622.0,897.86,120.21,2.66,14.12,128.14,768.5699999999999,53.22,Lincoln,Nebraska
269,311953.0,977.21,216.11,2.47,13.190000000000001,230.37,683.01,50.23,Beaumont,Texas
272,237695.0,744.6,166.99,2.26,12.57,178.01,672.51,51.83,Cookeville,Tennessee
275,474696.0,1487.0,149.72,3.2,17.13,159.6,778.3399999999999,56.15,Sacramento,California
