web-scraper-order,web-scraper-start-url,home,rent,energy,phone,gas,bread,milk,eggs,bananas,hamburger,doctor,dentist,optometrist,drug,veterinary
1570330668-130,https://www.payscale.com/cost-of-living-calculator/Oklahoma-Oklahoma-City,"$247,758 ",$776.12 / month,$154.08 / month,$164.24 / month,$2.18 / gallon,$3.02 ,$1.76 ,$1.64 ,$3.05 ,$3.85 ,$100.41 ,$86.26 ,$94.09 ,$399.99 ,$46.79 
1570330638-116,https://www.payscale.com/cost-of-living-calculator/Louisiana-Lafayette,"$259,903 ",$814.16 / month,$183.42 / month,$195.52 / month,$2.50 / gallon,$3.26 ,$1.90 ,$1.77 ,$3.29 ,$4.16 ,$96.54 ,$82.94 ,$90.46 ,$384.55 ,$48.02 
1570330590-94,https://www.payscale.com/cost-of-living-calculator/Texas-Stephenville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330925-251,https://www.payscale.com/cost-of-living-calculator/Colorado-Denver,"$463,245 ","$1,451 / month",$156.76 / month,$167.10 / month,$2.75 / gallon,$3.26 ,$1.90 ,$1.77 ,$3.29 ,$4.15 ,$116.58 ,$100.15 ,$109.24 ,$464.37 ,$55.28 
1570330988-281,https://www.payscale.com/cost-of-living-calculator/California-Pasadena,"$987,211 ","$3,093 / month",$180.74 / month,$192.66 / month,$3.42 / gallon,$3.73 ,$2.17 ,$2.03 ,$3.77 ,$4.75 ,$121.67 ,$104.53 ,$114.01 ,$484.66 ,$54.97 
1570330757-172,https://www.payscale.com/cost-of-living-calculator/Ohio-Akron,"$343,877 ","$1,077 / month",$162.63 / month,$173.36 / month,$2.85 / gallon,$3.38 ,$1.97 ,$1.84 ,$3.41 ,$4.30 ,$93.11 ,$79.99 ,$87.25 ,$370.88 ,$43.29 
1570330768-177,https://www.payscale.com/cost-of-living-calculator/Illinois-Carbondale,"$285,928 ",$895.69 / month,$161.29 / month,$171.93 / month,$2.68 / gallon,$3.25 ,$1.89 ,$1.77 ,$3.28 ,$4.14 ,$112.04 ,$96.25 ,$104.98 ,$446.29 ,$49.46 
1570330921-249,https://www.payscale.com/cost-of-living-calculator/Oregon-Corvallis,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330406-7,https://www.payscale.com/cost-of-living-calculator/New_York-Dobbs-Ferry,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330963-269,https://www.payscale.com/cost-of-living-calculator/California-San-Francisco,"$1,146,835 ","$3,593 / month",$182.92 / month,$194.98 / month,$3.51 / gallon,$4.28 ,$2.49 ,$2.33 ,$4.32 ,$5.45 ,$132.96 ,$114.23 ,$124.59 ,$529.64 ,$62.84 
1570330719-154,https://www.payscale.com/cost-of-living-calculator/District-of-Columbia-Washington,"$859,866 ","$2,694 / month",$162.13 / month,$172.82 / month,$2.73 / gallon,$3.66 ,$2.13 ,$1.99 ,$3.70 ,$4.66 ,$106.84 ,$91.78 ,$100.11 ,$425.57 ,$50.44 
1570330965-270,https://www.payscale.com/cost-of-living-calculator/California-Fullerton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330914-246,https://www.payscale.com/cost-of-living-calculator/Idaho-Moscow,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330493-48,https://www.payscale.com/cost-of-living-calculator/New_York-Albany,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330689-140,https://www.payscale.com/cost-of-living-calculator/Texas-Waco,"$282,805 ",$885.91 / month,$177.55 / month,$189.26 / month,$2.53 / gallon,$2.75 ,$1.60 ,$1.50 ,$2.78 ,$3.51 ,$102.63 ,$88.17 ,$96.17 ,$408.81 ,$49.00 
1570330474-39,https://www.payscale.com/cost-of-living-calculator/Rhode_Island-Kingston,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330919-248,https://www.payscale.com/cost-of-living-calculator/Utah-Salt-Lake-City,"$320,281 ","$1,003 / month",$130.77 / month,$139.40 / month,$2.80 / gallon,$3.25 ,$1.89 ,$1.76 ,$3.28 ,$4.13 ,$102.63 ,$88.17 ,$96.17 ,$408.81 ,$49.26 
1570330466-35,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Northampton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330424-15,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Harrisburg,"$321,322 ","$1,007 / month",$199.68 / month,$212.86 / month,$2.76 / gallon,$3.29 ,$1.92 ,$1.79 ,$3.32 ,$4.19 ,$97.76 ,$83.98 ,$91.60 ,$389.40 ,$50.90 
1570330991-282,https://www.payscale.com/cost-of-living-calculator/California-Stanford,"$2,140,883 ","$6,706 / month",$181.74 / month,$193.73 / month,$3.16 / gallon,$4.92 ,$2.87 ,$2.67 ,$4.96 ,$6.26 ,$150.01 ,$128.87 ,$140.57 ,$597.56 ,$65.26 
1570330567-83,https://www.payscale.com/cost-of-living-calculator/New_Jersey-Princeton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330489-46,https://www.payscale.com/cost-of-living-calculator/New_Jersey-South-Orange,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330451-28,https://www.payscale.com/cost-of-living-calculator/New_York-Geneseo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330910-244,https://www.payscale.com/cost-of-living-calculator/Washington-Tacoma,"$337,631 ","$1,058 / month",$190.63 / month,$203.20 / month,$2.54 / gallon,$3.66 ,$2.13 ,$1.99 ,$3.70 ,$4.66 ,$134.84 ,$115.84 ,$126.36 ,$537.14 ,$59.65 
1570330917-247,https://www.payscale.com/cost-of-living-calculator/Nevada-Reno,"$370,596 ","$1,161 / month",$141.84 / month,$151.20 / month,$2.95 / gallon,$3.33 ,$1.94 ,$1.81 ,$3.36 ,$4.24 ,$122.00 ,$104.81 ,$114.32 ,$485.98 ,$58.21 
1570330514-58,https://www.payscale.com/cost-of-living-calculator/Maine-Lewiston,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330449-27,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Collegeville,"$828,384 ","$2,595 / month",$208.74 / month,$222.51 / month,$3.00 / gallon,$3.87 ,$2.25 ,$2.10 ,$3.90 ,$4.93 ,$117.02 ,$100.53 ,$109.65 ,$466.14 ,$55.18 
1570330889-234,https://www.payscale.com/cost-of-living-calculator/Washington-Spokane,"$320,281 ","$1,003 / month",$126.75 / month,$135.11 / month,$2.93 / gallon,$3.23 ,$1.88 ,$1.75 ,$3.26 ,$4.11 ,$125.66 ,$107.95 ,$117.74 ,$500.54 ,$50.23 
1570330785-185,https://www.payscale.com/cost-of-living-calculator/Ohio-Toledo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330904-241,https://www.payscale.com/cost-of-living-calculator/Washington-Walla-Walla,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330516-59,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Boston,"$717,943 ","$2,249 / month",$236.57 / month,$252.17 / month,$2.89 / gallon,$3.52 ,$2.05 ,$1.91 ,$3.55 ,$4.49 ,$149.68 ,$128.59 ,$140.26 ,$596.23 ,$66.81 
1570330787-186,https://www.payscale.com/cost-of-living-calculator/Michigan-Detroit,"$326,527 ","$1,023 / month",$171.18 / month,$182.47 / month,$2.82 / gallon,$3.02 ,$1.76 ,$1.64 ,$3.05 ,$3.85 ,$104.29 ,$89.59 ,$97.72 ,$415.42 ,$50.03 
1570330902-240,https://www.payscale.com/cost-of-living-calculator/New_Mexico-Las-Cruces,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330876-228,https://www.payscale.com/cost-of-living-calculator/Nevada-Las-Vegas,"$376,148 ","$1,178 / month",$151.23 / month,$161.21 / month,$2.96 / gallon,$3.46 ,$2.02 ,$1.88 ,$3.49 ,$4.41 ,$113.70 ,$97.68 ,$106.54 ,$452.91 ,$51.52 
1570330927-252,https://www.payscale.com/cost-of-living-calculator/Washington-Pullman,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330610-103,https://www.payscale.com/cost-of-living-calculator/Alabama-Birmingham,"$299,808 ",$939.17 / month,$169.00 / month,$180.15 / month,$2.38 / gallon,$3.18 ,$1.85 ,$1.73 ,$3.21 ,$4.05 ,$92.77 ,$79.70 ,$86.93 ,$369.56 ,$47.20 
1570330866-223,https://www.payscale.com/cost-of-living-calculator/Washington-Olympia,"$343,530 ","$1,076 / month",$179.56 / month,$191.41 / month,$3.40 / gallon,$3.58 ,$2.09 ,$1.95 ,$3.61 ,$4.56 ,$130.53 ,$112.13 ,$122.31 ,$519.94 ,$49.77 
1570330438-22,https://www.payscale.com/cost-of-living-calculator/New_York-Oswego,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330783-184,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Whitewater,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330510-56,https://www.payscale.com/cost-of-living-calculator/Kentucky-Barbourville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330453-29,https://www.payscale.com/cost-of-living-calculator/New_York-Buffalo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330762-174,https://www.payscale.com/cost-of-living-calculator/Minnesota-St.-Cloud,"$268,231 ",$840.25 / month,$144.19 / month,$153.70 / month,$2.68 / gallon,$3.79 ,$2.21 ,$2.06 ,$3.82 ,$4.83 ,$129.09 ,$110.90 ,$120.96 ,$514.21 ,$52.91 
1570330823-203,https://www.payscale.com/cost-of-living-calculator/Minnesota-Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330760-173,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Parkside,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330736-162,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Stevens-Point,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330829-206,https://www.payscale.com/cost-of-living-calculator/Minnesota-Minneapolis,"$363,656 ","$1,139 / month",$152.74 / month,$162.81 / month,$2.82 / gallon,$3.55 ,$2.07 ,$1.93 ,$3.58 ,$4.52 ,$115.69 ,$99.39 ,$108.41 ,$460.85 ,$55.07 
1570330648-121,https://www.payscale.com/cost-of-living-calculator/Mississippi-Mississippi-State,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330770-178,https://www.payscale.com/cost-of-living-calculator/Nebraska-Omaha,"$308,136 ",$965.26 / month,$144.02 / month,$153.52 / month,$2.40 / gallon,$3.14 ,$1.83 ,$1.71 ,$3.17 ,$3.99 ,$111.37 ,$95.68 ,$104.36 ,$443.65 ,$48.48 
1570330855-218,https://www.payscale.com/cost-of-living-calculator/Minnesota-Northfield,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330982-278,https://www.payscale.com/cost-of-living-calculator/California-Los-Angeles,"$788,384 ","$2,470 / month",$180.74 / month,$192.66 / month,$3.42 / gallon,$3.73 ,$2.17 ,$2.03 ,$3.77 ,$4.75 ,$121.67 ,$104.53 ,$114.01 ,$484.66 ,$54.97 
1570330457-31,https://www.payscale.com/cost-of-living-calculator/Connecticut-West-Haven,"$475,397 ","$1,489 / month",$181.74 / month,$193.73 / month,$2.76 / gallon,$4.27 ,$2.49 ,$2.32 ,$4.31 ,$5.44 ,$129.09 ,$110.90 ,$120.96 ,$514.21 ,$63.10 
1570330738-163,https://www.payscale.com/cost-of-living-calculator/Missouri-Parkville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330812-198,https://www.payscale.com/cost-of-living-calculator/Ohio-Oberlin,"$572,175 ","$1,792 / month",$175.54 / month,$187.12 / month,$2.68 / gallon,$3.70 ,$2.16 ,$2.01 ,$3.74 ,$4.71 ,$112.04 ,$96.25 ,$104.98 ,$446.29 ,$54.56 
1570330687-139,https://www.payscale.com/cost-of-living-calculator/Florida-Gainesville,"$316,117 ",$990.26 / month,$199.01 / month,$212.14 / month,$2.70 / gallon,$3.45 ,$2.01 ,$1.88 ,$3.48 ,$4.39 ,$109.16 ,$93.78 ,$102.29 ,$434.83 ,$48.74 
1570330973-274,https://www.payscale.com/cost-of-living-calculator/California-Irbine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330584-91,https://www.payscale.com/cost-of-living-calculator/Texas-Dallas,"$364,003 ","$1,140 / month",$174.87 / month,$186.40 / month,$2.59 / gallon,$3.16 ,$1.84 ,$1.72 ,$3.19 ,$4.02 ,$112.04 ,$96.25 ,$104.98 ,$446.29 ,$52.65 
1570330802-193,https://www.payscale.com/cost-of-living-calculator/Minnesota-Saint-Peter,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330819-201,https://www.payscale.com/cost-of-living-calculator/Iowa-Iowa-City,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330535-68,https://www.payscale.com/cost-of-living-calculator/Maine-Brunswick,"$316,747 ",$992.23 / month,$195.49 / month,$208.39 / month,$2.82 / gallon,$3.34 ,$1.95 ,$1.82 ,$3.37 ,$4.25 ,$119.23 ,$102.43 ,$111.73 ,$474.96 ,$56.77 
1570330523-62,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Villanova,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330440-23,https://www.payscale.com/cost-of-living-calculator/New_Hampshire-Durham,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330470-37,https://www.payscale.com/cost-of-living-calculator/New_York-Rochester,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330906-242,https://www.payscale.com/cost-of-living-calculator/Oregon-Portland,"$620,783 ","$1,945 / month",$130.77 / month,$139.40 / month,$2.78 / gallon,$3.84 ,$2.23 ,$2.09 ,$3.87 ,$4.88 ,$118.57 ,$101.86 ,$111.11 ,$472.31 ,$60.53 
1570330893-236,https://www.payscale.com/cost-of-living-calculator/Oregon-Eugene,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330827-205,https://www.payscale.com/cost-of-living-calculator/Michigan-East-Lansing,"$580,412 ","$1,818 / month",$168.83 / month,$179.97 / month,$2.59 / gallon,$3.07 ,$1.79 ,$1.67 ,$3.09 ,$3.91 ,$108.72 ,$93.40 ,$101.87 ,$433.06 ,$47.82 
1570330821-202,https://www.payscale.com/cost-of-living-calculator/Indiana-Bloomington,"$304,319 ",$953.30 / month,$159.11 / month,$169.61 / month,$2.63 / gallon,$3.20 ,$1.86 ,$1.74 ,$3.23 ,$4.07 ,$97.54 ,$83.79 ,$91.39 ,$388.52 ,$53.37 
1570330604-100,https://www.payscale.com/cost-of-living-calculator/Virginia-Richmond,"$307,789 ",$964.17 / month,$178.22 / month,$189.98 / month,$2.40 / gallon,$2.94 ,$1.71 ,$1.60 ,$2.97 ,$3.75 ,$119.46 ,$102.62 ,$111.94 ,$475.84 ,$52.09 
1570330464-34,https://www.payscale.com/cost-of-living-calculator/New_York-Clinton,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330846-214,https://www.payscale.com/cost-of-living-calculator/Missouri-Rolla,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330976-275,https://www.payscale.com/cost-of-living-calculator/California-Davis,"$889,164 ","$2,785 / month",$149.72 / month,$159.60 / month,$3.20 / gallon,$3.89 ,$2.26 ,$2.11 ,$3.92 ,$4.95 ,$114.81 ,$98.63 ,$107.58 ,$457.32 ,$56.15 
1570330891-235,https://www.payscale.com/cost-of-living-calculator/Montana-Bozeman,"$374,066 ","$1,172 / month",$129.10 / month,$137.61 / month,$2.49 / gallon,$3.39 ,$1.97 ,$1.84 ,$3.42 ,$4.32 ,$114.14 ,$98.06 ,$106.96 ,$454.67 ,$51.88 
1570330597-97,https://www.payscale.com/cost-of-living-calculator/Florida-Jacksonville,"$309,524 ",$969.60 / month,$154.58 / month,$164.78 / month,$2.53 / gallon,$3.34 ,$1.95 ,$1.82 ,$3.37 ,$4.26 ,$96.65 ,$83.03 ,$90.57 ,$384.99 ,$50.34 
1570330606-101,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Boone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330548-74,https://www.payscale.com/cost-of-living-calculator/New_York-Ithaca,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330923-250,https://www.payscale.com/cost-of-living-calculator/Arizona-Tempe,"$391,407 ","$1,226 / month",$161.12 / month,$171.75 / month,$2.39 / gallon,$3.24 ,$1.89 ,$1.76 ,$3.27 ,$4.13 ,$108.16 ,$92.92 ,$101.35 ,$430.86 ,$48.23 
1570330432-19,https://www.payscale.com/cost-of-living-calculator/Connecticut-Hamden,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330565-82,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Cambridge,"$1,109,025 ","$3,474 / month",$201.36 / month,$214.64 / month,$2.99 / gallon,$3.69 ,$2.15 ,$2.01 ,$3.72 ,$4.70 ,$132.96 ,$114.23 ,$124.59 ,$529.64 ,$66.24 
1570330612-104,https://www.payscale.com/cost-of-living-calculator/Texas-San-Antonio,"$262,332 ",$821.77 / month,$147.04 / month,$156.74 / month,$2.31 / gallon,$2.75 ,$1.60 ,$1.50 ,$2.78 ,$3.51 ,$100.52 ,$86.36 ,$94.20 ,$400.43 ,$48.74 
1570330840-211,https://www.payscale.com/cost-of-living-calculator/Indiana-West-Lafayette,"$354,160 ","$1,109 / month",$179.90 / month,$191.77 / month,$2.54 / gallon,$3.22 ,$1.88 ,$1.75 ,$3.25 ,$4.10 ,$103.74 ,$89.12 ,$97.20 ,$413.22 ,$49.36 
1570330950-263,https://www.payscale.com/cost-of-living-calculator/California-Northridge,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330644-119,https://www.payscale.com/cost-of-living-calculator/Texas-Fort-Worth,"$327,915 ","$1,027 / month",$168.67 / month,$179.79 / month,$2.74 / gallon,$3.09 ,$1.80 ,$1.68 ,$3.11 ,$3.93 ,$108.05 ,$92.83 ,$101.25 ,$430.42 ,$57.54 
1570330789-187,https://www.payscale.com/cost-of-living-calculator/Iowa-Grinnell,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330751-169,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Stout,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330676-134,https://www.payscale.com/cost-of-living-calculator/Alabama-Auburn,"$258,515 ",$809.81 / month,$173.53 / month,$184.98 / month,$2.34 / gallon,$3.40 ,$1.98 ,$1.85 ,$3.43 ,$4.33 ,$94.44 ,$81.13 ,$88.49 ,$376.17 ,$52.09 
1570330670-131,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Raleigh,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330742-165,https://www.payscale.com/cost-of-living-calculator/Missouri-Kansas-City,"$319,587 ","$1,001 / month",$180.74 / month,$192.66 / month,$2.57 / gallon,$3.34 ,$1.94 ,$1.81 ,$3.37 ,$4.25 ,$109.49 ,$94.06 ,$102.60 ,$436.15 ,$53.48 
1570330725-157,https://www.payscale.com/cost-of-living-calculator/Michigan-Grand-Rapids,"$281,764 ",$882.64 / month,$149.55 / month,$159.42 / month,$2.66 / gallon,$3.10 ,$1.81 ,$1.69 ,$3.13 ,$3.95 ,$100.64 ,$86.45 ,$94.30 ,$400.87 ,$48.95 
1570330776-181,https://www.payscale.com/cost-of-living-calculator/South_Dakota-Brookings,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330629-112,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Charlotte,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330885-232,https://www.payscale.com/cost-of-living-calculator/Washington-Bellingham,"$435,485 ","$1,364 / month",$134.80 / month,$143.69 / month,$3.15 / gallon,$3.51 ,$2.04 ,$1.91 ,$3.54 ,$4.46 ,$127.87 ,$109.85 ,$119.82 ,$509.36 ,$58.88 
